procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 8  0      0 2557104 129188 937296    0    0   644 19253  218  303  2  5 87  6
 1  1      0 2553140 129212 942876    0    0     8 20132  878 1339  6  3 87  5
 0  0      0 2543600 129216 952760    0    0     0 24000 1063 1331  6  4 89  0
 1  0      0 2552608 129224 943632    0    0     0 24000  993 1270  5  5 91  0
 0  0      0 2543632 129232 952352    0    0     0 20000  892 1234  7  5 89  0
 0  0      0 2543152 129236 952436    0    0     0 24000 1296 1276  5  6 89  0
 0  1      0 2544012 129256 952548    0    0     4 24112  946 1212  4  5 91  1
 1  0      0 2552716 129260 943752    0    0     0 24004  966 1320  4  4 87  4
 1  0      0 2551228 129268 944020    0    0     0 24000  949 1275  5  5 90  0
 0  0      0 2543028 129272 952600    0    0     0 24000  899 1144  5  4 91  0
 1  0      0 2539796 129280 952560    0    0     0 20000  930 1311  6  4 91  0
 0  1      0 2539144 129292 952556    0    0     0 20096  832 1127  5  4 86  5
 0  0      0 2545228 129296 952348    0    0     0 24004 1286 1295  4  6 89  0
 0  0      0 2543012 129304 952648    0    0     0 24000 1155 1269  5  6 89  0
 0  0      0 2543616 129308 952540    0    0     0 24068 1034 1311  5  4 91  0
 2  0      0 2542880 129320 952476    0    0     0 24000 1027 1235  6  6 88  0
 0  1      0 2539688 129336 952568    0    0     4 20104 1125 1204  6  3 89  3
 0  0      0 2543200 129344 952552    0    0     0 24004 1255 1287  4  6 88  3
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0      0 2554744 129188 937512    0    0   611 19643  221  302  3  5 87  6
 0  0      0 2539600 129208 952756    0    0     8 20132  996 1325  5  4 85  5
 0  0      0 2539500 129208 952776    0    0     0 24000  975 1332  5  4 91  0
 0  0      0 2539656 129208 952504    0    0     0 24000  936 1235  6  5 89  0
 0  0      0 2539764 129208 952324    0    0     0 24000  958 1271  5  6 89  0
 0  0      0 2539864 129208 952604    0    0     0 24000  931 1233  6  5 89  0
